user,contributions,repos,followers
QuincyLarson,2349,29,1700
BerkeleyTrue,1729,55,332
sahat,1261,181,412
terakilobyte,658,86,119
ltegman,381,32,164
SaintPeter,366,31,215
benmcmahon100,298,8,78
raisedadead,298,46,153
bugron,198,13,22
erictleung,190,60,141
atjonathan,182,29,99
abhisekp,121,76,194
ahstro,109,50,95
dhcodes,92,26,53
Greenheart,71,21,31
Bouncey,62,15,40
awesomeaniruddh,60,29,87
hallaathrad,45,26,174
vtamara,40,66,62
AryanJ-NYC,35,33,18
BKinahan,35,10,50
systimotic,35,11,45
AkiraLaine,30,31,94
no-stack-dub-sack,29,14,7
Manish-Giri,28,64,126
natac13,27,96,27
justinian336,25,17,7
alistermada,19,13,3
aldraco,19,28,43
